duration,protocol_type,service,src_bytes,dst_bytes,attack_type,label
0.3204,0,2,1182,4016,normal,0
0.137,0,4,533,74,honeypot_probe,1
0.02,0,4,1770,0,honeypot_probe,1
0.0085,0,3,17,10,ddos_attack,1
0.0023,0,0,30,36,ddos_attack,1
0.0109,0,1,13,24,ddos_attack,1
0.0498,0,4,495,71,honeypot_probe,1
0.2366,0,0,1110,702,normal,0
0.1321,1,1,884,3815,normal,0
0.3914,0,0,1266,2729,normal,0
0.79,0,1,1318,1050,normal,0
0.0016,0,0,46,26,ddos_attack,1
0.0003,0,1,19,4,ddos_attack,1
0.0419,0,4,1005,12,honeypot_probe,1
0.9369,0,1,1244,3847,normal,0
0.1302,0,2,158,2802,normal,0
0.0078,0,0,14,19,ddos_attack,1
1.1954,0,1,878,473,normal,0
0.0166,0,4,340,61,honeypot_probe,1
0.1479,0,1,1067,483,normal,0
0.1561,0,4,326,91,honeypot_probe,1
0.0357,0,0,1384,3925,normal,0
0.0131,0,4,1836,20,honeypot_probe,1
0.1031,0,0,630,2546,normal,0
0.2546,0,0,376,244,normal,0
0.0607,0,3,449,3409,normal,0
1.2533,0,0,826,1330,normal,0
0.4309,0,0,1248,2352,normal,0
0.0033,0,0,59,20,ddos_attack,1
1.8554,0,1,405,2651,normal,0
0.102,0,0,1053,2390,normal,0
0.8042,0,1,1392,556,normal,0
0.9057,0,0,1458,3374,normal,0
0.3823,0,1,1010,958,normal,0
0.2035,0,2,841,1609,normal,0
0.0748,0,4,286,54,honeypot_probe,1
0.6293,0,0,822,1986,normal,0
0.5572,0,0,1326,3428,normal,0
0.5288,0,0,159,1239,normal,0
0.0194,0,3,13,51,ddos_attack,1
0.0023,0,0,57,17,ddos_attack,1
0.0447,0,0,1468,1042,normal,0
0.2736,1,2,809,3198,normal,0
0.4462,0,1,997,1407,normal,0
0.2865,0,3,917,1515,normal,0
1.0143,0,3,191,863,normal,0
0.0114,0,1,300,1432,normal,0
0.075,0,3,505,2204,normal,0
0.1589,0,3,105,1507,normal,0
0.0348,0,1,651,1750,normal,0
0.0754,0,0,794,295,normal,0
0.5013,0,1,1488,3097,normal,0
0.7368,0,1,1450,3904,normal,0
0.4621,0,1,1383,2186,normal,0
0.6348,0,1,161,182,normal,0
0.0276,0,1,42,57,ddos_attack,1
0.1521,0,0,1021,3706,normal,0
0.2034,0,0,776,2471,normal,0
0.0068,0,1,51,24,ddos_attack,1
0.8549,0,2,165,3041,normal,0
0.1889,0,3,1104,457,normal,0
0.0074,0,0,25,23,ddos_attack,1
0.0102,0,1,46,53,ddos_attack,1
1.9706,1,1,552,4076,normal,0
0.0005,0,1,26,22,ddos_attack,1
0.3205,0,0,200,3058,normal,0
0.3542,0,4,926,92,honeypot_probe,1
0.9904,0,0,678,1424,normal,0
0.0045,0,1,54,33,ddos_attack,1
0.0756,0,4,1185,54,honeypot_probe,1
0.4248,0,1,1045,1048,normal,0
0.0073,0,0,53,61,ddos_attack,1
0.3099,1,0,1228,1425,normal,0
0.1603,0,4,1262,45,honeypot_probe,1
0.7288,0,1,760,399,normal,0
0.414,0,4,465,29,honeypot_probe,1
0.2735,0,0,66,3628,normal,0
0.1693,0,0,495,832,normal,0
0.0046,0,4,598,48,honeypot_probe,1
0.0664,1,2,1002,3579,normal,0
1.0565,1,1,289,3352,normal,0
0.0007,0,0,38,62,ddos_attack,1
0.8879,0,0,888,2393,normal,0
1.5764,0,2,117,3246,normal,0
0.3652,0,1,482,2865,normal,0
2.8046,1,1,844,3319,normal,0
0.0004,0,3,46,33,ddos_attack,1
0.2481,0,1,1282,1048,normal,0
0.0036,0,4,1686,39,honeypot_probe,1
0.1329,0,4,1449,87,honeypot_probe,1
0.0025,0,0,977,581,normal,0
0.0116,0,4,995,68,honeypot_probe,1
0.0063,0,4,1524,95,honeypot_probe,1
1.185,0,2,103,4058,normal,0
0.1324,0,4,415,18,honeypot_probe,1
0.0281,0,4,770,58,honeypot_probe,1
0.2032,0,3,419,318,normal,0
0.0021,0,3,54,57,ddos_attack,1
1.0563,0,2,145,2531,normal,0
0.7066,0,0,1133,1818,normal,0
0.0999,0,4,1446,97,honeypot_probe,1
0.3882,0,0,477,3654,normal,0
1.6483,0,1,1309,2212,normal,0
1.3841,0,0,794,2367,normal,0
0.0007,0,1,10,21,ddos_attack,1
0.0234,1,3,348,843,normal,0
0.0014,0,1,16,28,ddos_attack,1
0.1955,0,2,633,2134,normal,0
0.1598,1,1,460,3688,normal,0
0.7919,0,0,1217,1838,normal,0
0.0106,0,0,26,61,ddos_attack,1
0.2831,1,1,147,3973,normal,0
0.0058,0,0,47,14,ddos_attack,1
0.0022,0,3,33,11,ddos_attack,1
0.3189,0,0,1048,1808,normal,0
0.0834,0,1,262,2562,normal,0
0.0035,0,3,12,19,ddos_attack,1
0.0066,0,0,26,61,ddos_attack,1
0.0056,0,0,31,53,ddos_attack,1
0.4461,0,3,784,199,normal,0
0.5704,0,3,229,1695,normal,0
0.0141,0,3,50,7,ddos_attack,1
0.0138,0,0,21,56,ddos_attack,1
0.0093,0,0,736,841,normal,0
0.0283,0,0,42,32,ddos_attack,1
0.0086,0,4,788,25,honeypot_probe,1
0.0712,0,2,206,3169,normal,0
0.5549,1,0,698,2053,normal,0
0.4793,0,0,779,1415,normal,0
0.0982,0,4,1307,61,honeypot_probe,1
0.3312,0,1,1477,3513,normal,0
0.0066,0,0,51,13,ddos_attack,1
0.0311,0,0,1388,1394,normal,0
1.8621,0,0,372,822,normal,0
0.0882,0,2,612,3551,normal,0
0.3399,0,1,508,2268,normal,0
0.1138,0,0,222,2105,normal,0
0.0055,0,0,53,61,ddos_attack,1
0.0041,0,4,1912,50,honeypot_probe,1
0.2887,0,1,641,2510,normal,0
0.0548,0,4,954,57,honeypot_probe,1
0.0237,0,4,1460,17,honeypot_probe,1
0.6605,0,2,815,605,normal,0
0.1356,1,0,900,3180,normal,0
0.0512,0,1,294,2136,normal,0
0.001,0,1,34,56,ddos_attack,1
0.9759,0,1,523,3875,normal,0
0.0605,0,4,1618,9,honeypot_probe,1
0.093,0,0,925,3560,normal,0
0.143,0,2,639,3061,normal,0
0.0187,0,2,228,2480,normal,0
0.0164,0,1,24,5,ddos_attack,1
0.0593,0,0,574,1444,normal,0
0.004,0,4,318,34,honeypot_probe,1
1.3581,0,1,1293,1163,normal,0
2.1574,1,0,280,3505,normal,0
0.0868,0,4,1407,42,honeypot_probe,1
0.5496,0,0,371,1487,normal,0
0.132,0,4,1231,84,honeypot_probe,1
0.5583,0,3,149,1326,normal,0
0.0182,0,3,19,29,ddos_attack,1
0.481,1,1,651,1114,normal,0
0.117,0,4,1000,0,honeypot_probe,1
0.5378,0,2,1307,1137,normal,0
0.1914,1,3,844,2760,normal,0
0.1703,0,2,1189,621,normal,0
0.0577,0,4,1705,81,honeypot_probe,1
0.0382,0,4,1588,74,honeypot_probe,1
0.1761,0,0,1152,3275,normal,0
0.4144,0,1,368,863,normal,0
0.1289,0,1,1037,3017,normal,0
0.0069,0,1,17,47,ddos_attack,1
0.0246,0,3,34,11,ddos_attack,1
0.3739,0,1,106,1071,normal,0
0.6869,0,1,84,534,normal,0
1.1351,0,3,778,178,normal,0
1.3624,0,0,1027,3183,normal,0
0.5545,1,1,1231,233,normal,0
0.6297,0,1,1432,477,normal,0
0.5715,0,1,1022,2487,normal,0
0.002,0,3,29,3,ddos_attack,1
0.8457,0,1,622,3066,normal,0
0.508,0,1,1113,648,normal,0
0.096,0,3,215,847,normal,0
0.1476,0,2,1147,3366,normal,0
0.001,0,1,42,54,ddos_attack,1
0.092,0,3,694,2836,normal,0
0.012,0,1,1247,1674,normal,0
0.2479,0,1,833,1471,normal,0
0.594,0,1,1254,3952,normal,0
0.2086,0,1,1189,2729,normal,0
0.1481,0,4,235,96,honeypot_probe,1
0.2564,0,0,1062,835,normal,0
0.8915,0,0,223,2324,normal,0
0.4492,0,0,121,3458,normal,0
0.0269,0,1,417,1622,normal,0
0.031,0,3,350,3502,normal,0
0.3837,0,1,975,3211,normal,0
0.5467,0,3,300,3478,normal,0
0.0827,1,3,427,2496,normal,0
0.0074,0,1,27,7,ddos_attack,1
0.0014,0,3,47,51,ddos_attack,1
0.0004,0,0,59,44,ddos_attack,1
0.0459,1,1,898,1331,normal,0
1.427,1,0,469,2318,normal,0
0.1907,0,4,689,11,honeypot_probe,1
0.0124,0,4,793,44,honeypot_probe,1
1.0518,1,2,1094,1075,normal,0
0.0039,0,0,36,1,ddos_attack,1
1.577,0,3,856,2428,normal,0
0.2561,0,4,1032,79,honeypot_probe,1
0.0019,0,1,50,5,ddos_attack,1
0.2291,0,0,600,3278,normal,0
0.0797,0,4,327,95,honeypot_probe,1
1.378,1,0,510,517,normal,0
0.0089,0,1,350,3186,normal,0
0.1065,0,1,753,1404,normal,0
0.1765,0,0,212,1480,normal,0
0.0031,0,0,25,59,ddos_attack,1
0.5015,0,0,1467,947,normal,0
0.5332,0,2,831,2172,normal,0
0.3728,0,0,661,3844,normal,0
0.2691,0,0,724,2825,normal,0
0.0021,0,1,22,20,ddos_attack,1
0.0099,0,0,46,44,ddos_attack,1
0.2321,0,1,371,1919,normal,0
0.335,0,0,657,871,normal,0
0.0095,0,3,51,20,ddos_attack,1
0.0143,0,4,391,16,honeypot_probe,1
0.0286,0,3,57,28,ddos_attack,1
1.3319,0,2,1371,842,normal,0
0.2442,0,0,1019,4054,normal,0
0.0814,0,1,164,1159,normal,0
0.0443,0,0,471,3682,normal,0
1.5675,0,1,429,3427,normal,0
0.7451,0,0,505,1412,normal,0
0.8876,0,1,1055,2543,normal,0
0.035,0,4,1991,24,honeypot_probe,1
0.1101,0,4,1162,48,honeypot_probe,1
0.151,0,3,182,317,normal,0
0.0389,0,4,1899,11,honeypot_probe,1
0.0605,0,3,1375,3487,normal,0
0.0014,0,0,49,17,ddos_attack,1
0.2327,0,1,1048,3825,normal,0
0.0275,0,4,1948,43,honeypot_probe,1
1.0899,0,0,1309,3830,normal,0
0.0299,0,4,1142,17,honeypot_probe,1
0.1249,1,2,301,774,normal,0
0.0277,0,2,1432,2709,normal,0
0.6509,0,2,499,410,normal,0
0.067,0,4,1630,87,honeypot_probe,1
0.2667,0,2,578,830,normal,0
0.0822,0,1,1368,3327,normal,0
0.0877,0,2,1348,642,normal,0
0.0104,0,4,1447,63,honeypot_probe,1
0.0023,0,1,55,38,ddos_attack,1
0.5822,0,1,995,2773,normal,0
0.0183,0,3,23,13,ddos_attack,1
0.0142,0,1,25,50,ddos_attack,1
0.0064,0,1,13,46,ddos_attack,1
0.6402,1,1,885,2151,normal,0
0.0148,0,0,1004,3219,normal,0
1.0368,0,2,399,2873,normal,0
0.4112,0,2,657,2066,normal,0
0.8716,0,0,469,791,normal,0
0.7683,0,2,82,559,normal,0
0.0653,0,0,894,1779,normal,0
0.8081,0,2,1205,1964,normal,0
0.5074,0,0,462,1861,normal,0
0.1375,0,4,336,89,honeypot_probe,1
0.102,0,0,1036,1770,normal,0
0.891,0,1,626,2932,normal,0
0.9577,0,1,112,3092,normal,0
0.3298,0,0,806,3494,normal,0
0.2871,0,2,1269,813,normal,0
0.0727,0,2,611,2900,normal,0
0.0294,0,0,226,2102,normal,0
0.0287,0,4,1623,53,honeypot_probe,1
0.9315,0,0,1315,1847,normal,0
0.4834,0,0,753,2138,normal,0
1.1505,0,2,1235,1623,normal,0
1.3809,0,1,959,2317,normal,0
0.0398,0,0,12,22,ddos_attack,1
0.4166,0,3,447,2059,normal,0
0.0606,0,0,553,3192,normal,0
0.0824,0,4,792,23,honeypot_probe,1
0.9836,0,0,240,656,normal,0
0.1282,0,1,85,3311,normal,0
0.0513,1,1,1173,715,normal,0
0.3592,0,1,306,1982,normal,0
0.2076,1,1,1155,2029,normal,0
0.0002,0,0,24,21,ddos_attack,1
0.1475,1,1,1113,1008,normal,0
0.0337,0,3,1184,1705,normal,0
0.0557,0,2,1265,1578,normal,0
0.0334,0,0,19,7,ddos_attack,1
0.7872,0,1,630,1032,normal,0
1.2331,0,0,531,3653,normal,0
0.0038,0,3,12,26,ddos_attack,1
2.0528,0,0,1087,3719,normal,0
0.1062,0,4,1842,3,honeypot_probe,1
0.0343,0,3,18,11,ddos_attack,1
0.0039,0,3,54,54,ddos_attack,1
0.6458,0,3,310,3839,normal,0
0.4102,0,2,993,3865,normal,0
0.6574,0,3,1459,3685,normal,0
0.6194,0,1,1006,1515,normal,0
0.2214,0,2,539,1949,normal,0
0.6224,0,0,1044,1826,normal,0
0.2138,0,2,1016,2454,normal,0
0.2172,0,1,994,416,normal,0
0.5638,0,2,219,1198,normal,0
0.9681,0,2,918,767,normal,0
0.5923,0,0,1278,660,normal,0
0.1812,0,3,523,3600,normal,0
0.0155,0,1,27,50,ddos_attack,1
0.1111,0,4,606,58,honeypot_probe,1
0.2962,0,3,903,2877,normal,0
1.8818,0,1,344,551,normal,0
0.025,0,0,57,56,ddos_attack,1
1.2083,0,2,1043,2348,normal,0
0.1297,0,4,962,18,honeypot_probe,1
0.0119,0,4,1133,52,honeypot_probe,1
0.0508,0,0,1463,2995,normal,0
0.4561,0,0,285,168,normal,0
1.166,1,2,1214,1406,normal,0
0.1369,0,0,1122,906,normal,0
0.1936,0,4,1990,20,honeypot_probe,1
0.89,0,0,1288,3644,normal,0
1.0146,0,3,1095,3500,normal,0
0.0009,0,3,55,46,ddos_attack,1
0.2084,0,0,596,4018,normal,0
0.7775,0,2,411,2715,normal,0
0.7726,1,0,1249,2522,normal,0
0.0071,0,1,15,21,ddos_attack,1
0.2246,0,0,1467,489,normal,0
0.0402,0,4,952,98,honeypot_probe,1
0.4718,0,0,716,828,normal,0
0.0038,0,0,955,3040,normal,0
0.8112,0,1,1450,4021,normal,0
0.0506,0,4,1772,48,honeypot_probe,1
0.0604,0,1,1128,1702,normal,0
0.6058,1,0,64,3367,normal,0
0.2647,1,2,1355,2620,normal,0
0.868,1,2,583,3352,normal,0
0.0262,0,0,913,1809,normal,0
0.2421,0,1,475,1063,normal,0
0.0007,0,0,24,40,ddos_attack,1
0.1104,0,4,304,73,honeypot_probe,1
0.4503,0,1,1205,2888,normal,0
1.0345,0,0,450,2063,normal,0
0.1715,0,4,467,34,honeypot_probe,1
0.0441,0,3,637,176,normal,0
0.3142,0,0,340,1589,normal,0
0.0517,0,4,1652,72,honeypot_probe,1
0.7779,0,2,258,1307,normal,0
0.7122,0,3,735,2169,normal,0
0.0139,0,1,1377,2615,normal,0
0.5189,0,2,622,3347,normal,0
0.3641,0,0,1070,1630,normal,0
0.0091,0,0,14,7,ddos_attack,1
0.1229,1,1,1475,1776,normal,0
0.3324,0,1,138,684,normal,0
0.0199,0,1,1321,3762,normal,0
0.7057,0,0,548,2297,normal,0
1.5609,0,3,849,2171,normal,0
0.0462,0,0,172,3935,normal,0
0.3898,0,1,737,492,normal,0
0.0179,0,0,51,33,ddos_attack,1
0.1082,0,0,1067,1684,normal,0
0.0816,0,4,1722,0,honeypot_probe,1
0.0749,0,1,202,1123,normal,0
2.5455,1,1,825,2962,normal,0
0.2514,0,1,227,2037,normal,0
1.6625,1,2,1227,2421,normal,0
0.7815,0,2,1107,2088,normal,0
0.2883,0,4,1752,18,honeypot_probe,1
0.0492,0,1,758,3961,normal,0
0.3695,0,1,778,831,normal,0
0.4305,1,3,145,731,normal,0
0.0145,0,1,54,34,ddos_attack,1
0.0579,1,1,944,2912,normal,0
0.0064,0,4,1546,58,honeypot_probe,1
1.7795,0,2,1201,2655,normal,0
0.0031,0,4,1789,9,honeypot_probe,1
0.1779,0,2,759,1437,normal,0
0.0009,0,4,218,7,honeypot_probe,1
0.0094,0,4,741,6,honeypot_probe,1
0.2091,0,0,204,1895,normal,0
0.1726,0,4,400,0,honeypot_probe,1
0.0095,0,0,18,33,ddos_attack,1
0.2617,0,0,1442,3783,normal,0
0.8257,1,0,146,1274,normal,0
0.1145,0,4,1880,33,honeypot_probe,1
0.0123,0,0,11,25,ddos_attack,1
0.175,0,0,967,1366,normal,0
0.0519,0,4,1250,92,honeypot_probe,1
0.9233,0,0,844,1684,normal,0
0.269,0,0,246,3222,normal,0
0.0605,0,4,1707,71,honeypot_probe,1
0.5068,0,1,1075,180,normal,0
0.008,0,1,22,58,ddos_attack,1
0.0032,0,0,23,33,ddos_attack,1
0.4965,0,2,1054,1392,normal,0
0.024,0,2,1430,1239,normal,0
0.0,0,0,38,27,ddos_attack,1
0.2233,0,2,491,1603,normal,0
0.0222,0,0,58,5,ddos_attack,1
1.6632,0,2,281,2076,normal,0
0.5008,0,0,86,3924,normal,0
0.011,0,3,53,10,ddos_attack,1
0.1212,0,4,1829,72,honeypot_probe,1
0.7612,0,0,1188,1653,normal,0
0.0694,0,4,1776,98,honeypot_probe,1
0.1172,0,1,955,1606,normal,0
0.0054,0,3,40,1,ddos_attack,1
0.5355,0,3,1187,2796,normal,0
0.0004,0,0,17,6,ddos_attack,1
0.668,1,0,603,2663,normal,0
0.4328,0,0,1400,2224,normal,0
0.3627,0,2,621,3724,normal,0
0.2058,0,0,1225,802,normal,0
0.259,0,1,604,298,normal,0
0.0043,0,4,1057,64,honeypot_probe,1
0.7436,0,1,761,2123,normal,0
0.0085,0,2,1221,3590,normal,0
0.1736,0,1,819,4024,normal,0
0.0007,0,1,1315,2798,normal,0
0.0079,0,3,32,24,ddos_attack,1
0.116,0,3,552,2332,normal,0
0.3309,0,1,1305,643,normal,0
0.286,0,4,1868,55,honeypot_probe,1
0.0786,0,4,1366,31,honeypot_probe,1
0.2276,0,0,425,3640,normal,0
0.7601,0,0,519,3559,normal,0
0.0179,0,4,690,64,honeypot_probe,1
1.2474,0,1,622,286,normal,0
0.0006,0,0,14,19,ddos_attack,1
0.2968,0,3,78,2911,normal,0
0.5691,0,0,661,2621,normal,0
0.3955,0,0,1053,1669,normal,0
0.1173,0,2,394,2508,normal,0
0.2487,0,0,643,2018,normal,0
0.261,1,1,1419,1290,normal,0
1.2591,0,0,217,1541,normal,0
0.7865,1,3,682,1962,normal,0
1.8929,0,0,71,2653,normal,0
0.0028,0,1,48,16,ddos_attack,1
0.4163,0,1,200,2596,normal,0
0.2208,1,0,234,1879,normal,0
0.002,0,1,57,26,ddos_attack,1
0.1411,0,3,1260,137,normal,0
0.0167,0,4,1470,26,honeypot_probe,1
0.0683,0,4,800,92,honeypot_probe,1
0.5045,0,0,1446,3802,normal,0
0.4865,1,1,756,3290,normal,0
0.9395,1,3,1491,3827,normal,0
0.9157,0,0,1280,1552,normal,0
0.569,0,1,1343,778,normal,0
0.2789,0,2,1196,827,normal,0
1.1704,0,1,525,2307,normal,0
0.022,0,1,54,28,ddos_attack,1
0.1753,0,0,538,3011,normal,0
1.058,0,0,1370,167,normal,0
0.6487,0,1,1091,4034,normal,0
0.3112,0,0,940,708,normal,0
0.3956,0,1,763,2741,normal,0
0.6421,0,0,1172,3516,normal,0
1.0717,0,0,907,3237,normal,0
0.0102,0,0,22,22,ddos_attack,1
1.1319,0,0,269,3384,normal,0
1.1611,0,3,567,1173,normal,0
0.4466,0,0,1001,3401,normal,0
0.1567,0,0,73,2901,normal,0
0.4601,0,2,980,3044,normal,0
0.3606,0,1,552,1022,normal,0
0.0119,0,1,15,0,ddos_attack,1
0.0668,1,0,826,808,normal,0
0.2118,0,3,1424,3774,normal,0
0.0111,0,0,10,16,ddos_attack,1
0.089,0,2,432,978,normal,0
0.0013,0,1,42,13,ddos_attack,1
0.001,0,1,38,18,ddos_attack,1
0.0076,0,1,62,0,ddos_attack,1
0.3291,0,3,722,2891,normal,0
1.0574,0,2,491,3350,normal,0
0.8475,0,0,1293,502,normal,0
0.8944,1,0,527,4039,normal,0
0.398,0,0,1370,267,normal,0
0.2033,0,1,181,1015,normal,0
0.0034,0,0,28,21,ddos_attack,1
0.0291,0,3,1228,1235,normal,0
0.01,0,0,28,63,ddos_attack,1
0.0011,0,0,27,62,ddos_attack,1
1.9653,0,1,80,2497,normal,0
0.012,0,4,1541,40,honeypot_probe,1
0.0122,0,0,36,48,ddos_attack,1
0.1535,0,1,271,1665,normal,0
0.5347,1,1,1382,346,normal,0
1.5123,0,0,1195,530,normal,0
0.5228,0,0,1221,1870,normal,0
0.2995,0,1,163,1210,normal,0
1.0053,1,0,329,948,normal,0
0.1334,0,4,759,20,honeypot_probe,1
0.4429,0,2,347,1600,normal,0
0.4372,0,1,1160,3436,normal,0
0.6724,0,2,905,497,normal,0
0.004,0,3,30,62,ddos_attack,1
0.0198,0,3,18,26,ddos_attack,1
0.4451,0,1,233,2387,normal,0
0.5306,0,0,1134,1151,normal,0
0.1207,0,0,359,2378,normal,0
0.6598,0,2,401,1757,normal,0
0.1823,0,4,1773,18,honeypot_probe,1
0.1666,0,1,933,3008,normal,0
2.1974,0,2,784,3272,normal,0
0.804,0,3,928,1845,normal,0
0.0036,0,4,1410,84,honeypot_probe,1
1.0346,0,2,743,2595,normal,0
0.078,0,1,126,3861,normal,0
0.0091,0,0,31,63,ddos_attack,1
0.317,0,0,1216,950,normal,0
0.0001,0,0,47,37,ddos_attack,1
0.3633,0,3,305,2630,normal,0
0.0175,0,0,13,4,ddos_attack,1
1.2922,0,1,340,188,normal,0
0.8817,0,0,607,694,normal,0
0.0396,0,4,1400,57,honeypot_probe,1
0.209,0,4,1436,60,honeypot_probe,1
0.403,0,0,693,2436,normal,0
0.0182,0,3,12,29,ddos_attack,1
0.4715,0,2,716,2847,normal,0
0.0026,0,0,26,54,ddos_attack,1
0.6342,0,1,725,885,normal,0
0.0097,0,3,1037,761,normal,0
0.0557,0,1,1098,2381,normal,0
0.1397,0,0,1469,539,normal,0
2.1432,0,2,82,2370,normal,0
0.0121,0,0,59,33,ddos_attack,1
